STATION,DATE,PRCP,TAVG,TMAX,TMIN
GR000016716,1/1/1955,0,,18.5,10.2
GR000016716,1/2/1955,2,,14.4,7
GR000016716,1/3/1955,0,,15.8,9.6
GR000016716,1/4/1955,0,,18.8,7.3
GR000016716,1/5/1955,0,,17.9,8.4
GR000016716,1/6/1955,0,,19.5,9
GR000016716,1/7/1955,0,,18,8.6
GR000016716,1/8/1955,0,,18,13.6
GR000016716,1/9/1955,3,,17.3,12.1
GR000016716,1/10/1955,0,,17.8,8.6
GR000016716,1/11/1955,0.5,,16.2,10.2
GR000016716,1/12/1955,0,,17.8,8.5
GR000016716,1/13/1955,0,,20.8,8.8
GR000016716,1/14/1955,0,,21,10
GR000016716,1/15/1955,0,,21.8,11.2
GR000016716,1/16/1955,0,,19,9
GR000016716,1/17/1955,0,,18.6,8.2
GR000016716,1/18/1955,0,,18.6,14.5
GR000016716,1/19/1955,1.5,,18.2,14
GR000016716,1/20/1955,5.6,,17.2,10
GR000016716,1/21/1955,10.8,,15,12
GR000016716,1/22/1955,27.7,,12.8,9.5
GR000016716,1/23/1955,0,,14.8,7.4
GR000016716,1/24/1955,0,,13.6,9.2
GR000016716,1/25/1955,0,,11.8,8.1
GR000016716,1/26/1955,0,,12.7,6.5
GR000016716,1/27/1955,0,,13.9,6.7
GR000016716,1/28/1955,0,,14.2,4.3
GR000016716,1/29/1955,0,,16.8,9.6
GR000016716,1/30/1955,16,,15.9,10.5
GR000016716,1/31/1955,0,,18.8,8
GR000016716,2/1/1955,0,,15.6,8.5
GR000016716,2/2/1955,3.6,,18.8,11
GR000016716,2/3/1955,9.3,,14.2,8
GR000016716,2/4/1955,4.8,,14.2,5.2
GR000016716,2/5/1955,14.9,,14.4,9.7
GR000016716,2/6/1955,0,,19,8.4
GR000016716,2/7/1955,0,,17.6,6.6
GR000016716,2/8/1955,0,,17.7,12
GR000016716,2/9/1955,0,,18.6,10.3
GR000016716,2/10/1955,0,,18,8.7
GR000016716,2/11/1955,0,,21.7,8.6
GR000016716,2/12/1955,0,,19.2,8.6
GR000016716,2/13/1955,0,,17.9,11.8
GR000016716,2/14/1955,0,,19,10.4
GR000016716,2/15/1955,0,,17.5,8.3
GR000016716,2/16/1955,0,,15.3,4.8
GR000016716,2/17/1955,0,,19.2,11
GR000016716,2/18/1955,0,,21,15.8
GR000016716,2/19/1955,0,,20.4,11.5
GR000016716,2/20/1955,0,,20.2,9.1
GR000016716,2/21/1955,0,,18,10.2
GR000016716,2/22/1955,0,,16.4,8.5
GR000016716,2/23/1955,0,,17.3,8
GR000016716,2/24/1955,0,,18.2,10.7
GR000016716,2/25/1955,0,,20.6,13.8
GR000016716,2/26/1955,0,,19.7,15.4
GR000016716,2/27/1955,0,,19.8,6.2
GR000016716,2/28/1955,0,,17,8.9
GR000016716,3/1/1955,0,,17.6,11.9
GR000016716,3/2/1955,12.2,,18.3,7
GR000016716,3/3/1955,2.8,,10.8,6.6
GR000016716,3/4/1955,0.8,,10.2,3.2
GR000016716,3/5/1955,0,,8.4,1.4
GR000016716,3/6/1955,0,,14,0
GR000016716,3/7/1955,0,,14.4,1.6
GR000016716,3/8/1955,0,,18.6,9.9
GR000016716,3/9/1955,0,,19.3,11
GR000016716,3/10/1955,0.3,,16.1,10.2
GR000016716,3/11/1955,0,,17,11.7
GR000016716,3/12/1955,0,,15.1,7.6
GR000016716,3/13/1955,0.2,,11.6,7.7
GR000016716,3/14/1955,1,,13,7.8
GR000016716,3/15/1955,0,,11.2,7
GR000016716,3/16/1955,0,,11.7,6.2
GR000016716,3/17/1955,0,,14,3.8
GR000016716,3/18/1955,0,,16,7
GR000016716,3/19/1955,0,,18.5,5.9
GR000016716,3/20/1955,0,,19,6.4
GR000016716,3/21/1955,0,,20.3,9
GR000016716,3/22/1955,0,,19,8.5
GR000016716,3/23/1955,0.3,,19.4,11.3
GR000016716,3/24/1955,0,,19.9,11.7
GR000016716,3/25/1955,0,,20.8,11.3
GR000016716,3/26/1955,0,,21.3,9
GR000016716,3/27/1955,0,,22.1,10.5
GR000016716,3/28/1955,0,,23,14
GR000016716,3/29/1955,0,,22.6,14.5
GR000016716,3/30/1955,0,,23.5,13.9
GR000016716,3/31/1955,0,,24.6,13.8
GR000016716,4/1/1955,0,,25.8,16.3
GR000016716,4/2/1955,0,,23.4,15
GR000016716,4/3/1955,0,,17.2,11.7
GR000016716,4/4/1955,0.6,,17.6,10.4
GR000016716,4/5/1955,0.8,,15,11
GR000016716,4/6/1955,0,,17.3,6.6
GR000016716,4/7/1955,0,,14.9,6.4
GR000016716,4/8/1955,0,,15,6.6
GR000016716,4/9/1955,0,,17.6,6.8
GR000016716,4/10/1955,0,,20.7,12.4
GR000016716,4/11/1955,0,,19.3,8.8
GR000016716,4/12/1955,3,,19.7,12
GR000016716,4/13/1955,0.3,,20.3,11.7
GR000016716,4/14/1955,3.6,,16.2,11.1
GR000016716,4/15/1955,18.1,,17.7,8.6
GR000016716,4/16/1955,1,,19.6,10.6
GR000016716,4/17/1955,0,,19.2,8.9
GR000016716,4/18/1955,0,,18.5,8.4
GR000016716,4/19/1955,3.2,,16.3,9.3
GR000016716,4/20/1955,0.1,,17.1,7.6
GR000016716,4/21/1955,0,,17,6.1
GR000016716,4/22/1955,0,,17,7.3
GR000016716,4/23/1955,0,,19.6,9
GR000016716,4/24/1955,0,,19.7,9
GR000016716,4/25/1955,1,,20.2,13.4
GR000016716,4/26/1955,2.8,,15.2,10.6
GR000016716,4/27/1955,0,,18.8,9.5
GR000016716,4/28/1955,0,,21.1,9
GR000016716,4/29/1955,0,,21,10
GR000016716,4/30/1955,0,,20,11
GR000016716,5/1/1955,0,,23,10
GR000016716,5/2/1955,0,,20.6,13.4
GR000016716,5/3/1955,0,,23.8,12.8
GR000016716,5/4/1955,0,,23.5,13
GR000016716,5/5/1955,0,,24,13
GR000016716,5/6/1955,0,,22.3,14
GR000016716,5/7/1955,0,,22,13.3
GR000016716,5/8/1955,0,,22.9,13.2
GR000016716,5/9/1955,0,,27.4,13.4
GR000016716,5/10/1955,0,,26.2,13.2
GR000016716,5/11/1955,0.3,,23.2,13.6
GR000016716,5/12/1955,0,,24.9,12
GR000016716,5/13/1955,0,,24.8,17.1
GR000016716,5/14/1955,0,,24.3,16.6
GR000016716,5/15/1955,0,,23.4,14.7
GR000016716,5/16/1955,0,,24,15.2
GR000016716,5/17/1955,0,,25.4,17
GR000016716,5/18/1955,0,,25.6,16.4
GR000016716,5/19/1955,0,,27.6,17.1
GR000016716,5/20/1955,0,,28.6,18
GR000016716,5/21/1955,0,,27.2,17.5
GR000016716,5/22/1955,0,,27.7,18.6
GR000016716,5/23/1955,0,,26.4,19.5
GR000016716,5/24/1955,0,,22.9,16
GR000016716,5/25/1955,0,,22.7,14
GR000016716,5/26/1955,0,,22.7,13.8
GR000016716,5/27/1955,0,,25.2,16
GR000016716,5/28/1955,0,,27.6,19.6
GR000016716,5/29/1955,0,,30,20
GR000016716,5/30/1955,0,,27.8,20.6
GR000016716,5/31/1955,0,,27.7,19.9
GR000016716,6/1/1955,0,,26,17.6
GR000016716,6/2/1955,0,,26.4,17
GR000016716,6/3/1955,0,,26,17
GR000016716,6/4/1955,0,,26.5,18.9
GR000016716,6/5/1955,0,,27,18
GR000016716,6/6/1955,0,,28,18.8
GR000016716,6/7/1955,0,,27.4,20
GR000016716,6/8/1955,0,,25.9,19
GR000016716,6/9/1955,0,,30,19.5
GR000016716,6/10/1955,0,,33.5,19.9
GR000016716,6/11/1955,0,,30.8,22
GR000016716,6/12/1955,0,,31.2,22.3
GR000016716,6/13/1955,0,,27,20.1
GR000016716,6/14/1955,0,,26.4,17.7
GR000016716,6/15/1955,0,,28.4,20
GR000016716,6/16/1955,0,,26,19.2
GR000016716,6/17/1955,0,,27.3,16.6
GR000016716,6/18/1955,0,,28.1,18.4
GR000016716,6/19/1955,0,,33.8,18.2
GR000016716,6/20/1955,0,,32.7,24.3
GR000016716,6/21/1955,0,,34.4,22.4
GR000016716,6/22/1955,0,,35,20.8
GR000016716,6/23/1955,0,,32,21.6
GR000016716,6/24/1955,0,,31,23
GR000016716,6/25/1955,0,,29.8,21.2
GR000016716,6/26/1955,0,,28.1,18.5
GR000016716,6/27/1955,0,,29.7,19.6
GR000016716,6/28/1955,0,,31,21
GR000016716,6/29/1955,0,,30.8,22.5
GR000016716,6/30/1955,0,,31,23
GR000016716,7/1/1955,0,,31.1,21.3
GR000016716,7/2/1955,0,,33,22.1
GR000016716,7/3/1955,0,,32.8,21.9
GR000016716,7/4/1955,0,,30.7,22.5
GR000016716,7/5/1955,0,,29.9,21.5
GR000016716,7/6/1955,0,,30.4,21.5
GR000016716,7/7/1955,0,,30.8,23.5
GR000016716,7/8/1955,0,,30.2,20.5
GR000016716,7/9/1955,0,,29.2,20.1
GR000016716,7/10/1955,0,,29.8,21.7
GR000016716,7/11/1955,0,,30.6,21.3
GR000016716,7/12/1955,0,,31.7,21.2
GR000016716,7/13/1955,0,,33.4,24.5
GR000016716,7/14/1955,0,,32.7,22.3
GR000016716,7/15/1955,0,,31,23
GR000016716,7/16/1955,0,,32.7,20.8
GR000016716,7/17/1955,0,,33,22.8
GR000016716,7/18/1955,0,,33,21.2
GR000016716,7/19/1955,0,,32,24.1
GR000016716,7/20/1955,0,,34.7,22.7
GR000016716,7/21/1955,0,,32,22.2
GR000016716,7/22/1955,0,,33,23.8
GR000016716,7/23/1955,0,,32.8,24
GR000016716,7/24/1955,0,,32.1,21.1
GR000016716,7/25/1955,2.3,,31.3,21.5
GR000016716,7/26/1955,0,,29.9,22.4
GR000016716,7/27/1955,0,,34.6,23.6
GR000016716,7/28/1955,0,,33.3,26.2
GR000016716,7/29/1955,0,,32.8,25
GR000016716,7/30/1955,0,,30.8,26.4
GR000016716,7/31/1955,0,,31.2,21.8
GR000016716,8/1/1955,0,,29.4,22.4
GR000016716,8/2/1955,0,,30,21.2
GR000016716,8/3/1955,0,,30.3,22
GR000016716,8/4/1955,0,,32.2,23.5
GR000016716,8/5/1955,0,,31,24
GR000016716,8/6/1955,0,,30.2,23
GR000016716,8/7/1955,0,,30.4,22.5
GR000016716,8/8/1955,0,,29.2,22.5
GR000016716,8/9/1955,0,,30.1,20.1
GR000016716,8/10/1955,0,,31.2,23
GR000016716,8/11/1955,0,,29.8,20.5
GR000016716,8/12/1955,0,,30.6,21.6
GR000016716,8/13/1955,0,,30.1,22.5
GR000016716,8/14/1955,0,,32,22.3
GR000016716,8/15/1955,0,,33.3,23
GR000016716,8/16/1955,4.8,,30.8,21
GR000016716,8/17/1955,6.4,,25.4,18.6
GR000016716,8/18/1955,5.5,,26.3,20
GR000016716,8/19/1955,0,,29.8,18.3
GR000016716,8/20/1955,0,,29.8,19.6
GR000016716,8/21/1955,0,,30.5,20.3
GR000016716,8/22/1955,0,,30.2,21.1
GR000016716,8/23/1955,0,,31.2,20.5
GR000016716,8/24/1955,0,,31.9,22.4
GR000016716,8/25/1955,0,,33.5,19.8
GR000016716,8/26/1955,0,,33.6,20
GR000016716,8/27/1955,0,,32.8,21.5
GR000016716,8/28/1955,0,,30.8,22.7
GR000016716,8/29/1955,0,,31.2,22.2
GR000016716,8/30/1955,0,,30.1,21.5
GR000016716,8/31/1955,0,,28.8,20.6
GR000016716,9/1/1955,0,,28.7,21
GR000016716,9/2/1955,29.2,,28.1,21
GR000016716,9/3/1955,15.6,,28,20.5
GR000016716,9/4/1955,0,,28.1,19
GR000016716,9/5/1955,0,,29,20.2
GR000016716,9/6/1955,0,,28.5,20.2
GR000016716,9/7/1955,0,,30,19.8
GR000016716,9/8/1955,0,,31.1,18.8
GR000016716,9/9/1955,0,,30.4,21.1
GR000016716,9/10/1955,0,,32.6,20.7
GR000016716,9/11/1955,0,,29.7,19.6
GR000016716,9/12/1955,0,,30,18.9
GR000016716,9/13/1955,0,,29.7,19.5
GR000016716,9/14/1955,0,,27.5,20
GR000016716,9/15/1955,0,,28.6,20
GR000016716,9/16/1955,0,,29.3,22.6
GR000016716,9/17/1955,0,,28.8,20.7
GR000016716,9/18/1955,0,,27.2,18
GR000016716,9/19/1955,0,,26.8,16.5
GR000016716,9/20/1955,0,,27.7,16.6
GR000016716,9/21/1955,0,,29.6,20.2
GR000016716,9/22/1955,0,,27.8,18
GR000016716,9/23/1955,2.8,,26.7,17.4
GR000016716,9/24/1955,1.6,,26.2,19.5
GR000016716,9/25/1955,0,,28,18.1
GR000016716,9/26/1955,0,,28.2,18
GR000016716,9/27/1955,0,,25.9,19
GR000016716,9/28/1955,0.8,,25.3,17
GR000016716,9/29/1955,4.3,,27.8,18
GR000016716,9/30/1955,0,,27.8,18.7
GR000016716,10/1/1955,13,,24,19
GR000016716,10/2/1955,5.5,,24.9,16
GR000016716,10/3/1955,24.8,,24,14.7
